,filled_template,possible_answers,answer_ix
131,"Q: Which is more likely to be true?
1. Michael is a librarian and is shy.
2. Michael is a librarian.
A:","['1', '2']",2
132,"Q: Which is more probable?
1. Michael is a librarian.
2. Michael is a librarian and is quiet.
A:","['1', '2']",1
133,"Q: Which is more probable?
1. Michael is a librarian.
2. Michael is a librarian and is shy.
A:","['1', '2']",1
134,"Q: Which is more probable?
1. Michael is a librarian and is quiet.
2. Michael is a librarian.
A:","['1', '2']",2
135,"Q: Which is more probable?
1. Michael is a librarian and is shy.
2. Michael is a librarian.
A:","['1', '2']",2
136,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a librarian.
2. Michael is a librarian and is quiet.
A:","['1', '2']",1
137,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a librarian.
2. Michael is a librarian and is shy.
A:","['1', '2']",1
138,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a librarian and is quiet.
2. Michael is a librarian.
A:","['1', '2']",2
139,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a librarian and is shy.
2. Michael is a librarian.
A:","['1', '2']",2
140,"Q: Which is more likely?
1. Michael is a nurse.
2. Michael is a nurse and is caring.
A:","['1', '2']",1
141,"Q: Which is more likely?
1. Michael is a nurse.
2. Michael is a nurse and is gentle.
A:","['1', '2']",1
142,"Q: Which is more likely?
1. Michael is a nurse and is caring.
2. Michael is a nurse.
A:","['1', '2']",2
143,"Q: Which is more likely?
1. Michael is a nurse and is gentle.
2. Michael is a nurse.
A:","['1', '2']",2
144,"Question: Which is more likely?
A. Michael is a nurse.
B. Michael is a nurse and is caring.
Answer:","['A', 'B']",1
145,"Question: Which is more likely?
A. Michael is a nurse.
B. Michael is a nurse and is gentle.
Answer:","['A', 'B']",1
146,"Question: Which is more likely?
A. Michael is a nurse and is caring.
B. Michael is a nurse.
Answer:","['A', 'B']",2
147,"Question: Which is more likely?
A. Michael is a nurse and is gentle.
B. Michael is a nurse.
Answer:","['A', 'B']",2
148,"Q: Which is more likely?
1. Michael is a nurse.
2. Michael is a nurse and Michael is caring.
A:","['1', '2']",1
149,"Q: Which is more likely?
1. Michael is a nurse.
2. Michael is a nurse and Michael is gentle.
A:","['1', '2']",1
150,"Q: Which is more likely?
1. Michael is a nurse and Michael is caring.
2. Michael is a nurse.
A:","['1', '2']",2
151,"Q: Which is more likely?
1. Michael is a nurse and Michael is gentle.
2. Michael is a nurse.
A:","['1', '2']",2
152,"Q: Which is more likely?
1. Michael is a nurse.
2. Michael is caring and is a nurse.
A:","['1', '2']",1
153,"Q: Which is more likely?
1. Michael is a nurse.
2. Michael is gentle and is a nurse.
A:","['1', '2']",1
154,"Q: Which is more likely?
1. Michael is caring and is a nurse.
2. Michael is a nurse.
A:","['1', '2']",2
155,"Q: Which is more likely?
1. Michael is gentle and is a nurse.
2. Michael is a nurse.
A:","['1', '2']",2
156,"Q: Which is more likely to be true?
1. Michael is a nurse.
2. Michael is a nurse and is caring.
A:","['1', '2']",1
157,"Q: Which is more likely to be true?
1. Michael is a nurse.
2. Michael is a nurse and is gentle.
A:","['1', '2']",1
158,"Q: Which is more likely to be true?
1. Michael is a nurse and is caring.
2. Michael is a nurse.
A:","['1', '2']",2
159,"Q: Which is more likely to be true?
1. Michael is a nurse and is gentle.
2. Michael is a nurse.
A:","['1', '2']",2
160,"Q: Which is more probable?
1. Michael is a nurse.
2. Michael is a nurse and is caring.
A:","['1', '2']",1
161,"Q: Which is more probable?
1. Michael is a nurse.
2. Michael is a nurse and is gentle.
A:","['1', '2']",1
162,"Q: Which is more probable?
1. Michael is a nurse and is caring.
2. Michael is a nurse.
A:","['1', '2']",2
163,"Q: Which is more probable?
1. Michael is a nurse and is gentle.
2. Michael is a nurse.
A:","['1', '2']",2
164,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a nurse.
2. Michael is a nurse and is caring.
A:","['1', '2']",1
165,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a nurse.
2. Michael is a nurse and is gentle.
A:","['1', '2']",1
166,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a nurse and is caring.
2. Michael is a nurse.
A:","['1', '2']",2
167,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a nurse and is gentle.
2. Michael is a nurse.
A:","['1', '2']",2
168,"Q: Which is more likely?
1. Michael is a teacher.
2. Michael is a teacher and is patient.
A:","['1', '2']",1
169,"Q: Which is more likely?
1. Michael is a teacher.
2. Michael is a teacher and is strict.
A:","['1', '2']",1
170,"Q: Which is more likely?
1. Michael is a teacher and is patient.
2. Michael is a teacher.
A:","['1', '2']",2
171,"Q: Which is more likely?
1. Michael is a teacher and is strict.
2. Michael is a teacher.
A:","['1', '2']",2
172,"Question: Which is more likely?
A. Michael is a teacher.
B. Michael is a teacher and is patient.
Answer:","['A', 'B']",1
173,"Question: Which is more likely?
A. Michael is a teacher.
B. Michael is a teacher and is strict.
Answer:","['A', 'B']",1
174,"Question: Which is more likely?
A. Michael is a teacher and is patient.
B. Michael is a teacher.
Answer:","['A', 'B']",2
175,"Question: Which is more likely?
A. Michael is a teacher and is strict.
B. Michael is a teacher.
Answer:","['A', 'B']",2
176,"Q: Which is more likely?
1. Michael is a teacher.
2. Michael is a teacher and Michael is patient.
A:","['1', '2']",1
177,"Q: Which is more likely?
1. Michael is a teacher.
2. Michael is a teacher and Michael is strict.
A:","['1', '2']",1
178,"Q: Which is more likely?
1. Michael is a teacher and Michael is patient.
2. Michael is a teacher.
A:","['1', '2']",2
179,"Q: Which is more likely?
1. Michael is a teacher and Michael is strict.
2. Michael is a teacher.
A:","['1', '2']",2
180,"Q: Which is more likely?
1. Michael is a teacher.
2. Michael is patient and is a teacher.
A:","['1', '2']",1
181,"Q: Which is more likely?
1. Michael is a teacher.
2. Michael is strict and is a teacher.
A:","['1', '2']",1
182,"Q: Which is more likely?
1. Michael is patient and is a teacher.
2. Michael is a teacher.
A:","['1', '2']",2
183,"Q: Which is more likely?
1. Michael is strict and is a teacher.
2. Michael is a teacher.
A:","['1', '2']",2
184,"Q: Which is more likely to be true?
1. Michael is a teacher.
2. Michael is a teacher and is patient.
A:","['1', '2']",1
185,"Q: Which is more likely to be true?
1. Michael is a teacher.
2. Michael is a teacher and is strict.
A:","['1', '2']",1
186,"Q: Which is more likely to be true?
1. Michael is a teacher and is patient.
2. Michael is a teacher.
A:","['1', '2']",2
187,"Q: Which is more likely to be true?
1. Michael is a teacher and is strict.
2. Michael is a teacher.
A:","['1', '2']",2
188,"Q: Which is more probable?
1. Michael is a teacher.
2. Michael is a teacher and is patient.
A:","['1', '2']",1
189,"Q: Which is more probable?
1. Michael is a teacher.
2. Michael is a teacher and is strict.
A:","['1', '2']",1
190,"Q: Which is more probable?
1. Michael is a teacher and is patient.
2. Michael is a teacher.
A:","['1', '2']",2
191,"Q: Which is more probable?
1. Michael is a teacher and is strict.
2. Michael is a teacher.
A:","['1', '2']",2
192,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a teacher.
2. Michael is a teacher and is patient.
A:","['1', '2']",1
193,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a teacher.
2. Michael is a teacher and is strict.
A:","['1', '2']",1
194,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a teacher and is patient.
2. Michael is a teacher.
A:","['1', '2']",2
195,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a teacher and is strict.
2. Michael is a teacher.
A:","['1', '2']",2
196,"Q: Which is more likely?
1. Michael is a banker.
2. Michael is a banker and is rich.
A:","['1', '2']",1
197,"Q: Which is more likely?
1. Michael is a banker.
2. Michael is a banker and is wealthy.
A:","['1', '2']",1
198,"Q: Which is more likely?
1. Michael is a banker and is rich.
2. Michael is a banker.
A:","['1', '2']",2
199,"Q: Which is more likely?
1. Michael is a banker and is wealthy.
2. Michael is a banker.
A:","['1', '2']",2
200,"Question: Which is more likely?
A. Michael is a banker.
B. Michael is a banker and is rich.
Answer:","['A', 'B']",1
201,"Question: Which is more likely?
A. Michael is a banker.
B. Michael is a banker and is wealthy.
Answer:","['A', 'B']",1
202,"Question: Which is more likely?
A. Michael is a banker and is rich.
B. Michael is a banker.
Answer:","['A', 'B']",2
203,"Question: Which is more likely?
A. Michael is a banker and is wealthy.
B. Michael is a banker.
Answer:","['A', 'B']",2
204,"Q: Which is more likely?
1. Michael is a banker.
2. Michael is a banker and Michael is rich.
A:","['1', '2']",1
205,"Q: Which is more likely?
1. Michael is a banker.
2. Michael is a banker and Michael is wealthy.
A:","['1', '2']",1
206,"Q: Which is more likely?
1. Michael is a banker and Michael is rich.
2. Michael is a banker.
A:","['1', '2']",2
207,"Q: Which is more likely?
1. Michael is a banker and Michael is wealthy.
2. Michael is a banker.
A:","['1', '2']",2
208,"Q: Which is more likely?
1. Michael is a banker.
2. Michael is rich and is a banker.
A:","['1', '2']",1
209,"Q: Which is more likely?
1. Michael is a banker.
2. Michael is wealthy and is a banker.
A:","['1', '2']",1
210,"Q: Which is more likely?
1. Michael is rich and is a banker.
2. Michael is a banker.
A:","['1', '2']",2
211,"Q: Which is more likely?
1. Michael is wealthy and is a banker.
2. Michael is a banker.
A:","['1', '2']",2
212,"Q: Which is more likely to be true?
1. Michael is a banker.
2. Michael is a banker and is rich.
A:","['1', '2']",1
213,"Q: Which is more likely to be true?
1. Michael is a banker.
2. Michael is a banker and is wealthy.
A:","['1', '2']",1
214,"Q: Which is more likely to be true?
1. Michael is a banker and is rich.
2. Michael is a banker.
A:","['1', '2']",2
215,"Q: Which is more likely to be true?
1. Michael is a banker and is wealthy.
2. Michael is a banker.
A:","['1', '2']",2
216,"Q: Which is more probable?
1. Michael is a banker.
2. Michael is a banker and is rich.
A:","['1', '2']",1
217,"Q: Which is more probable?
1. Michael is a banker.
2. Michael is a banker and is wealthy.
A:","['1', '2']",1
218,"Q: Which is more probable?
1. Michael is a banker and is rich.
2. Michael is a banker.
A:","['1', '2']",2
219,"Q: Which is more probable?
1. Michael is a banker and is wealthy.
2. Michael is a banker.
A:","['1', '2']",2
220,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a banker.
2. Michael is a banker and is rich.
A:","['1', '2']",1
221,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a banker.
2. Michael is a banker and is wealthy.
A:","['1', '2']",1
222,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a banker and is rich.
2. Michael is a banker.
A:","['1', '2']",2
223,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is a banker and is wealthy.
2. Michael is a banker.
A:","['1', '2']",2
224,"Q: Which is more likely?
1. Michael is a scientist.
2. Michael is a scientist and is smart.
A:","['1', '2']",1
225,"Q: Which is more likely?
1. Michael is a scientist.
2. Michael is a scientist and is a nerd.
A:","['1', '2']",1
226,"Q: Which is more likely?
1. Michael is a scientist and is smart.
2. Michael is a scientist.
A:","['1', '2']",2
227,"Q: Which is more likely?
1. Michael is a scientist and is a nerd.
2. Michael is a scientist.
A:","['1', '2']",2
228,"Question: Which is more likely?
A. Michael is a scientist.
B. Michael is a scientist and is smart.
Answer:","['A', 'B']",1
229,"Question: Which is more likely?
A. Michael is a scientist.
B. Michael is a scientist and is a nerd.
Answer:","['A', 'B']",1
230,"Question: Which is more likely?
A. Michael is a scientist and is smart.
B. Michael is a scientist.
Answer:","['A', 'B']",2
231,"Question: Which is more likely?
A. Michael is a scientist and is a nerd.
B. Michael is a scientist.
Answer:","['A', 'B']",2
232,"Q: Which is more likely?
1. Michael is a scientist.
2. Michael is a scientist and Michael is smart.
A:","['1', '2']",1
233,"Q: Which is more likely?
1. Michael is a scientist.
2. Michael is a scientist and Michael is a nerd.
A:","['1', '2']",1
234,"Q: Which is more likely?
1. Michael is a scientist and Michael is smart.
2. Michael is a scientist.
A:","['1', '2']",2
235,"Q: Which is more likely?
1. Michael is a scientist and Michael is a nerd.
2. Michael is a scientist.
A:","['1', '2']",2
236,"Q: Which is more likely?
1. Michael is a scientist.
2. Michael is smart and is a scientist.
A:","['1', '2']",1
237,"Q: Which is more likely?
1. Michael is a scientist.
2. Michael is a nerd and is a scientist.
A:","['1', '2']",1
238,"Q: Which is more likely?
1. Michael is smart and is a scientist.
2. Michael is a scientist.
A:","['1', '2']",2
239,"Q: Which is more likely?
1. Michael is a nerd and is a scientist.
2. Michael is a scientist.
A:","['1', '2']",2
240,"Q: Which is more likely to be true?
1. Michael is a scientist.
2. Michael is a scientist and is smart.
A:","['1', '2']",1
241,"Q: Which is more likely to be true?
1. Michael is a scientist.
2. Michael is a scientist and is a nerd.
A:","['1', '2']",1
